Lokakuu,Ateneum,1988
Mies Toivolasta,Ateneum,1938
"Kaislikkoranta, Kuvitus Mustapään runoon ""Muudan rikas mies"" kokoelmasta ""Koiruoho, ruusunkukka""",Ateneum,1948
Eksynyt,Kiasma,1981
Saksalainen maisema,Ateneum,1861
Le miroir,Ateneum,1952
Luonnoskirja (84s),Ateneum,2003
Satelliitti,Ateneum,1966
"Paskamies - kunnianosoitus Archimboldolle, koprofaginen sommitelma",Kiasma,1999
Kilpelän kangas,Ateneum,1977
Lemminkäinen,Ateneum,1992
Originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen,Ateneum,1903
Originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen,Ateneum,1903
"Luonnos teokseen ""Prenikanmyyjä""",Ateneum,1935
Someronjoki Paimion ja Hirsjärven välissä,Ateneum,1875
Nykälän Justiina,Kiasma,2003
Pakkaspäivä Suomenlinnassa,Kiasma,2000
Leipurit valkoviinillä,Ateneum,1951
"Luonnoskirja, (38s)",Ateneum,2003
Istuva mies,Ateneum,1989
Matala lento,Ateneum,1971
